entity_attribute_system_mapping,entity_attribute_id,entity_system_table_id,column_name,attribute_rank
18,85,36,rut,1
19,85,37,rut,2
20,86,36,check_digit,1
21,86,37,check_digit,2
22,87,36,paternal_last_name,1
23,87,37,paternal_last_name,2
24,88,36,maternal_last_name,1
25,88,37,maternal_last_name,2
26,89,36,first_name,1
27,89,37,name,2
28,90,38,rut,1
29,90,39,rut,2
30,91,38,check_digit,1
31,91,39,check_digit,2
32,92,38,paternal_last_name,1
33,92,39,paternal_last_name,2
34,93,38,maternal_last_name,1
35,93,39,maternal_last_name,2
36,94,38,first_name,1
37,94,39,name,2
